"hyp_1" "hyp_2" "hyp_3" "hyp_4" "hyp_5" "hyp_6" "hyp_7" "hyp_8" "hyp_9" "hyp_10" " " "log_1" "log_2" "log_3" "log_4" "log_5" "log_6" "log_7" "log_8" "log_9" "log_10"
"NH3" 0.612 0.603 0.612 0.616 0.632 0.619 0.607 0.631 0.624 0.627 NA 0.594 0.597 0.627 0.618 0.617 0.629 0.622 0.626 0.629 0.616
"NOx" 0.749 0.719 0.757 0.752 0.748 0.749 0.746 0.747 0.747 0.765 NA 0.752 0.761 0.768 0.754 0.767 0.764 0.765 0.76 0.752 0.763
