"hyp_1" "hyp_2" "hyp_3" "hyp_4" "hyp_5" "hyp_6" "hyp_7" "hyp_8" "hyp_9" "hyp_10" " " "log_1" "log_2" "log_3" "log_4" "log_5" "log_6" "log_7" "log_8" "log_9" "log_10"
"NO2" 0.846 0.816 0.836 0.802 0.804 0.848 0.881 0.824 0.858 0.795 NA 0.832 0.821 0.822 0.828 0.826 0.873 0.853 0.851 0.83 0.764
"NOx" 0.679 0.679 0.676 0.686 0.68 0.681 0.691 0.69 0.685 0.698 NA 0.674 0.679 0.679 0.689 0.684 0.688 0.693 0.692 0.69 0.69
