"hyp_1" "hyp_2" "hyp_3" "hyp_4" "hyp_5" "hyp_6" "hyp_7" "hyp_8" "hyp_9" "hyp_10" " " "log_1" "log_2" "log_3" "log_4" "log_5" "log_6" "log_7" "log_8" "log_9" "log_10"
"CO2" 0.601 0.61 0.623 0.574 0.632 0.616 0.618 0.626 0.613 0.611 NA 0.485 0.584 0.628 0.63 0.626 0.602 0.609 0.612 0.628 0.623
"NO" 0.478 0.502 0.453 0.402 0.504 0.531 0.479 0.391 0.471 0.447 NA 0.474 0.518 0.451 0.438 0.459 0.397 0.525 0.445 0.399 0.42
"NO2" 0.804 0.809 0.816 0.822 0.821 0.825 0.829 0.817 0.825 0.825 NA 0.736 0.837 0.879 0.818 0.812 0.81 0.738 0.809 0.811 0.827
"O3" 0.737 0.757 0.261 0.3 0.364 0.458 0.591 0.523 0.493 0.623 NA 0.736 0.738 0.444 0.474 0.299 0.416 0.48 -0.025 0.691 0.527
"PM1" 0.188 0.343 0.346 0.355 0.337 0.332 0.33 -0.084 0.339 0.322 NA 0.188 0.348 0.35 0.351 0.337 0.343 0.327 0.336 -0.011 0.33
"PM2.5" 0.419 0.447 0.428 0.431 0.417 0.416 0.426 0.384 0.427 0.419 NA 0.441 0.392 0.431 0.383 0.388 0.418 0.413 0.419 0.42 0.422
"PM10" -0.153 -0.089 -0.053 0.256 0 0.081 0.03 0.148 0.093 0.137 NA 0.215 0.349 0.114 0.093 0.083 0.042 0.129 0.2 -0.103 -0.165
"PN10" 0.515 0.538 0.53 0.542 0.541 0.547 0.542 0.544 0.546 0.543 NA 0.516 0.542 0.537 0.536 0.549 0.524 0.542 0.536 0.543 0.545
